#AOCI-CODE-VOLUME: 1

===/Users/kdongnmt.edu/Desktop/mind canvas/代码_mindcanvas/===
.gitattributes[FV4T]: F:强制全仓文本以LF检出，二进制自动识别不改写 | R:- | A:- | S:Windows autocrlf 重写换行会让 AOCI 基线整树 stale
share_handler.go[EB7M]: F:公开分享页发布查看删除、公开端元数据密码与数据获取，以及模板保存列表删除与使用 | R:code:server/services/share_service.go,code:configs/006_share_template.sql | A:POST /api/rooms/:id/share,GET /api/share/:token/meta,POST /api/share/:token/verify,GET /api/share/:token/data,GET /api/templates,POST /api/templates/:id/use | S:show_stats/show_canvas/show_dropzone 未传时默认 true，故先解成 map 再取值以区分未传与显式 false；密码可从 pwd 查询参数或 X-Share-Password 头取
shelf_handler.go[EB6M]: F:协作墙卡片列表、创建、删除与可见性切换，变更经 WS 广播 | R:code:configs/013_shelf.sql,code:server/ws/hub.go | A:GET /api/rooms/:id/elements/:eid/shelf-cards,POST /api/rooms/:id/elements/:eid/shelf-cards,DELETE /api/rooms/:id/elements/:eid/shelf-cards/:cid,PATCH /api/rooms/:id/elements/:eid/shelf-visibility | S:学生删卡靠请求体自报 author_uuid 与 SQL 条件比对，无服务端身份校验；可见性切换只广播不落库
token_handler.go[EI8L]: F:作业码生成列表导出、花名册增删导入与课堂同步，以及学生凭码验证、提交、查结果与公开文件上传 | R:code:server/services/token_service.go,code:configs/008_assignment_v2.sql | A:POST /api/assignments/:aid/tokens/generate,GET /api/assignments/:aid/roster,POST /api/assignments/:aid/roster/import,POST /api/submit/verify,POST /api/submit,POST /api/submit/upload | S:/api/submit 系列完全公开，仅靠作业码与 uuid，由 APIRateLimit 与 UploadRateLimit 限频；花名册导入同时接受 JSON names 与 multipart CSV，CSV 首行含姓名或 name 时按表头跳过；上传按扩展名白名单，落 uploads/assignments/submissions/
upload_handler.go[EG8L]: F:头像、图片与通用文件上传及文件信息查询，按 MIME 嗅探与扩展名白名单校验后落盘 | R:code:server/database/redis.go,code:configs/002_dropzone.sql | A:POST /api/upload/avatar,POST /api/upload/image,POST /api/upload/file,GET /api/upload/file/:id | S:上限头像 2MB、图片 10MB、通用 100MB；MIME 用前 512 字节嗅探，不在白名单时回落到扩展名判断；学生上传须带 X-Student-UUID 与 X-Room-Id 并经 Redis 会话校验，Redis 不可用时降级查 room_sessions；入库失败只记日志，文件已保存不回滚
ws_handler.go[EM9L]: F:WebSocket 入口与消息分发：鉴权入场、room_sync 场景恢复、场景合并与持久化、删除校验、互动提交、光标场控与资料更新广播 | R:code:server/ws/hub.go,code:server/ws/room.go,code:server/handlers/scene_snapshot.go,code:server/handlers/ws_room_sync.go,code:server/handlers/ws_scene_messages.go,code:server/services/widget_service.go,code:configs/004_scene_persistence.sql | A:GET /ws/room/:id | S:身份按连接时角色判定，不猜 UUID 前缀；mergeSceneElements 按原顺序拼回；appState 不持久化；合并后≥5MB 拒写、≥2MB 告警；节流跳过的写入 31 秒后补写，重启则丢；update_profile 须手动同步 client.Nickname/AvatarID；room_sync 由 ws_room_sync.go 构造，room 在消息顶层；answer 提交必须读库整行广播，返回内层对象会被摊平致统计不刷新；scene_update/scene_restore 消息与越权删除决策在 ws_scene_messages.go，isTeamRoom 只在确有越权时才查库
ws_room_sync.go[AN7T]: F:构造 room_sync 消息体：房间元数据、场景、成员、本人已提交记录 | R:code:server/handlers/ws_handler.go,code:contracts/room_sync.json | A:buildRoomSyncMessage(in roomSyncInput) map[string]interface{} | S:room 对象在消息顶层不得再包进 payload；键名必须与 contracts/room_sync.json 一致，前端靠它取房间标题，读错层级学生端标题退回默认「课堂」
ws_scene_messages.go[AN7T]: F:构造 scene_update/scene_restore 消息，并决定越权删除是恢复还是放行（团队房放行） | R:code:server/handlers/ws_handler.go,code:web/src/hooks/useWebSocket.ts,code:web/src/components/canvas/CanvasEngine.tsx | A:buildSceneRestoreMessage(ids),buildSceneUpdateMessage(payload/sender),resolveSceneDeleteGuard(sender/isStudent/payload/isTeamRoom) | S:scene_restore 的 data.illegal_ids 与 scene_update 的 from、data 是前端读取契约；isTeamRoom 传函数，仅确有越权删除时才调用（要查库）；团队房放行不恢复不回弹

===/Users/kdongnmt.edu/Desktop/mind/server/middleware/===
assignment_ownership.go[MI8S]: F:拦截 /api/assignments/:aid 全部子路由，校验该作业归当前教师所有 | R:code:server/main.go,code:configs/007_assignment.sql | A:- | S:superadmin 全放行，admin 与普通教师同权只能操作自己 created_by 的作业（assignments 无 tenant_id）；无 :aid 的路由自动放行；非法 UUID 直接 404，避免 PG 的 invalid input syntax 变成 500；越权与不存在返回同一措辞
auth.go[MI9S]: F:从 HttpOnly Cookie 取 JWT 解析后注入用户信息，另提供可选鉴权与四个 Context 读取辅助函数 | R:code:server/utils/jwt.go,code:server/config/config.go | A:- | S:Token 只走 Cookie 不用 LocalStorage；解析失败时顺手清掉无效 Cookie 再返 401；OptionalAuth 在无 token 或 token 无效时都放行且不注入任何用户信息，供学生可能无 JWT 的公开接口使用；OptionalAuth 在构造时取一次 config.Get()，AuthRequired 则每次请求取
cors.go[MN7T]: F:按配置白名单逐一比对 Origin，命中才下发 CORS 头，并对 OPTIONS 预检直接返 204 | R:code:server/config/config.go | A:- | S:Allow-Credentials 为 true 以传 Cookie，故 Origin 必须精确匹配白名单不能用通配；未命中时不下发任何 CORS 头但仍继续处理请求
ratelimit.go[MS7T]: F:基于 Redis 计数的按 IP 限速，并预置登录、通用 API 与公开上传三档 | R:code:server/database/redis.go | A:- | S:Redis 不可用时一律放行，限速不阻断业务；计数首次请求才设过期，故实际是固定窗口而非滑动窗口；登录 10/分、API 200/分、上传 10/分
role.go[MI8T]: F:基于角色的访问控制中间件，另有租户隔离中间件把租户 ID 写进 Context | R:code:server/middleware/auth.go,code:server/main.go | A:- | S:superadmin 在 RequireRole 里始终放行，不看传入的角色列表；RequireTenantAccess 只把 tenant_filter 写进 Context，真正的过滤要各查询自己用，中间件本身不拦数据

===/Users/kdongnmt.edu/Desktop/mind/server/models/===
assignment.go[CB7M]: F:作业域数据结构与状态常量：作业、材料、Rubric、提交、评价及各请求响应体 | R:code:configs/007_assignment.sql,code:server/services/assignment_service.go | A:- | S:Rubric 的 CriteriaJSON 存原始 JSON 字符串，Criteria 结构体字段仅供反序列化后使用；ParseResult 是 MarkItDown 微服务返回体的映射
assignment_token.go[CI6S]: F:作业码与花名册数据结构、类型与来源常量，以及验证结果与汇总响应体 | R:code:configs/008_assignment_v2.sql,code:server/services/token_service.go | A:- | S:dedicated 绑定 student_uuid 为强身份，universal 提交时填姓名为弱身份；RosterWithStatus 内嵌 AssignmentRoster 再叠提交状态，供教师核心视图直接序列化
class.go[CI5T]: F:班级与花名册成员结构，以及建班、单个添加与批量导入请求体 | R:code:configs/019_classes_roster.sql | A:- | S:ClassStudent.ID 就是稳定 student_id；导入单行可用竖线、英文逗号、中文逗号或制表符分隔姓名与消歧
element.go[CD7T]: F:画布元素结构与十种元素类型常量，payload 为 JSONB 原样透传 | R:code:configs/001_init.sql,code:server/services/widget_service.go | A:- | S:常量表里是 dropzone 而非 dropzone_widget，且没有 shelf_widget，但数据库注释与实际数据里都有，判断类型不能只依赖本文件
flow.go[CW6S]: F:课堂流程节点与流程主体结构、五种节点类型与三种画布进入模式，另有学生端脱敏结构 | R:code:configs/003_teaching_flow.sql,code:server/services/flow_service.go | A:- | S:节点 JSON 字段用小驼峰 widgetElementId/autoOpenWidget，与其他结构的下划线风格不同，前后端必须对齐；FlowNodePublic 去掉教师备注与 Widget 绑定
group.go[CB4T]: F:课堂分组结构与自动分组请求体 | R:code:configs/002_dropzone.sql | A:- | S:n 在 by_groups 下是组数，by_count 下是每组人数
interaction.go[CD6T]: F:互动记录结构与三种操作类型常量，action_data 为 JSONB | R:code:configs/001_init.sql | A:- | S:常量只有 vote/add_word/answer，而实际还存在 submit 与 html_event 两种 action_type，不在本文件枚举内
room.go[CB8T]: F:房间结构与两组正交常量——画布形态 room_mode 与协作形态 collab_mode，另有场控请求体 | R:code:configs/018_room_collab_mode.sql,code:configs/019_classes_roster.sql | A:- | S:room_mode 与 collab_mode 是两个维度，切勿混用；UpdateRoomRequest 有 ExpiresAt 字段，但 Room 结构与 rooms 建表都没有对应列
session.go[CI7T]: F:房间会话结构、入场请求与响应，以及 roster 重名候选与认领码相关结构 | R:code:configs/001_init.sql,code:server/services/session_service.go | A:- | S:roster 房间重名时响应 NeedDisambig=true 且不入场，前端选定后带 student_id 重提交；入场返回的 uuid 在 roster 下是稳定 id，否则是 guest- 临时 id
share.go[CB6T]: F:公开分享配置与课堂模板结构，以及创建分享、密码验证与保存模板请求体 | R:code:configs/006_share_template.sql,code:server/services/share_service.go | A:- | S:ShareMetaResponse 不含密码散列，且冗余带上房间标题与教师名以省一次查询；模板的 StepsJSON 与 ElementsJSON 是 interface{} 原样透传
tenant.go[CI5T]: F:租户结构与创建、更新请求体，更新用指针字段区分未传与置零 | R:code:configs/001_init.sql | A:- | S:-
user.go[CI7T]: F:用户结构与登录、创建用户、状态更新请求体；学生无账号不在此模型 | R:code:configs/001_init.sql | A:- | S:Password 字段的 JSON 标签为 -，序列化时始终隐藏；TenantID 为指针，superadmin 时为 null

===/Users/kdongnmt.edu/Desktop/mind/server/services/===
agent_service.go[DA8L]: F:智能体服务：读画布拼上下文、取提示词、管会话与消息、冷启动摘要与会话自动命名 | R:code:server/handlers/agent_handler.go,code:server/services/ai_service.go,code:configs/025_agent.sql | A:- | S:loadScene 刻意不复用 ExportService 的 Redis-only 读法，必须 Redis 未命中回 PG 兜底——已有 9 个房间的 Redis 场景因 7 天 TTL 过期；画布文本按位置排序而非数组顺序，分行容差 60px；超 12000 字截断并明确告知模型还有内容；写库一律用 db.Exec 而非请求 ctx
ai_service.go[IA9L]: F:豆包 Ark 客户端：非流式与流式对话、图文分析，以及带 usage 与截断标记的 StreamChatEx | R:code:server/services/agent_service.go,code:server/services/refine_service.go,code:server/handlers/diagram_handler.go | A:- | S:StreamChatEx 是另起的一条路，既有 doChat/readStream 未动——readStream 的 usage 恒为空且从不读 finish_reason，改它要动图形生成、讲评分析与作业评阅的公共底座；流式必须带 stream_options.include_usage 否则响应里根本没 usage；usage 在最后一个 chunk 且该 chunk 的 choices 为空，必须在 len(choices)==0 分支之外先取；scanner 单行缓冲调到 1MB，默认 64KB 撞上限会静默截断
assignment_ai_patch.go[DA7S]: F:作业域两个 AI 任务的执行体：生成 Rubric 与 AI 初评，另有入队函数与 JSON 提取工具 | R:code:server/services/assignment_service.go,code:server/services/ai_service.go | A:- | S:executeGenerateRubric 按 material_role='teacher' 取材料，而该列合法值是 instruction/rubric_source 等，实际永远取不到材料
assignment_service.go[DB9L]: F:作业域服务：job_queue 持久化任务队列与 worker、作业与材料 CRUD、解析调度、Rubric 版本化与学生提交 | R:code:configs/010_job_queue.sql,code:server/services/assignment_ai_patch.go,code:markitdown-service/app.py,code:server/handlers/assignment_handler.go | A:- | S:worker 每 2 秒轮询，用 FOR UPDATE SKIP LOCKED 原子领取，信号量限并发 2；失败重试 3 次、每次延后 30 秒；启动后 3 秒扫卡住任务，材料 parsing 超 10 分钟置 failed，队列 running 超 15 分钟重新入队；入队失败降级为直接 goroutine 执行，此路径不持久化；提交要求作业状态为 collecting，版本号按学生累加；场景大小阈值 CheckSceneSize 也放在本文件
class_service.go[DI7M]: F:班级与花名册服务：建班列班删班、花名册列表、单个添加与批量导入 | R:code:configs/019_classes_roster.sql,code:server/handlers/class_handler.go | A:- | S:归属校验一律进 SQL 而非只比变量；删班前先把 rooms.class_id 置空，该外键无级联；导入按唯一约束 DO NOTHING 区分 inserted 与 skipped
courseware_service.go[DS8L]: F:zip 课件解压与元信息落库：垃圾条目过滤、剥公共顶级目录、路径穿越拒绝、体积上限与入口文件判定 | R:code:server/handlers/courseware_handler.go,code:configs/023_courseware.sql | A:- | S:safeJoin 对 .. 与绝对路径直接拒收而不是夹紧，正常课件不可能有这类条目；体积按 LimitReader 实际写入累计，不信 header 的 UncompressedSize64；符号链接条目直接拒；解压根在 /opt/mindcanvas/courseware，nginx 够不着；找不到 index.html 当场报错不猜入口
diagram_prompt.go[CA7S]: F:五类图形的系统提示词常量与共用结构约束，并按类型返回对应提示词 | R:code:server/handlers/diagram_handler.go,code:server/handlers/diagram_validate.go | A:- | S:共用约束里第 6–10 条是防止节点在画布上静默丢失的结构要求；GetDiagramPrompt 遇未知类型回落思维导图而不报错
diagram_sample_service.go[DA7M]: F:AI 图形生成信号采集：落生成记录、老师后续动作，以及后台存活率观测 | R:code:configs/021_diagram_samples.sql,code:configs/022_diagram_survival.sql,code:server/handlers/diagram_handler.go | A:- | S:采集是旁路，任一步失败只记日志不打断生成；归属校验进 UPDATE 的 WHERE；存活判定须先确认场景快照晚于插入时刻，否则判 unknown，且统计要排掉 isDeleted 软删元素
export_service.go[AB8L]: F:课堂总结聚合与导出：互动/贡献/文字 CSV、投票词云问答作品墙汇总，以及 Markdown 总结 | R:code:server/services/share_service.go,code:server/handlers/room_handler.go,code:configs/001_init.sql,code:configs/002_dropzone.sql | A:- | S:buildQASummaries 读 payload 的 correct_answer，而 widget_service 落库写的是 correctIdx——导出里的正确项标记恒为 -1，永远打不对；贡献统计优先读 Redis 场景快照，Redis 不可用才降级查库，降级路径第三列写的是已删除元素数而表头仍写「元素类型分布」
flow_service.go[DW7L]: F:课堂流程 CRUD、draft/active/finished 状态机推进，以及学生端脱敏进度 | R:code:configs/003_teaching_flow.sql,code:server/handlers/flow_handler.go,code:server/models/flow.go | A:- | S:新建流程先把本房间旧的 draft/active 全置 finished，一房间只留一个活跃流程；next 推到最后一个节点会直接结束流程；DeleteFlow 注释说只许删 draft，实际只拦 active
insight_service.go[AA8L]: F:学情雷达聚合：在线人数、组件参与率与未提交名单、问答正确率、高频词、小组与 Top5，以及 HTML 课件掌握度 | R:code:server/ws/hub.go,code:server/handlers/insight_handler.go,code:configs/020_html_events_knowledge.sql,code:configs/001_init.sql | A:- | S:参与率分母取当下在线人数，人一走比率就变，不是稳定口径；缓存 10 秒，但在线人数每次都用 Hub 实时值覆盖；HTML 掌握度按 学生+元素+题 latest-wins 去重，complete 汇总事件不进按题统计；未提交名单只看当前在线连接且排除 role=teacher
lecture_analyze.go[AA8M]: F:讲评分析异步生成：装载 Rubric 与全班提交、调 AI 产出结构化报告，事务写报告主表与内容块 | R:code:server/services/lecture_prompt.go,code:server/services/assignment_service.go,code:configs/016_lecture_report.sql,code:server/services/lecture_read.go | A:- | S:只用 Rubric 维度与提交原文，不读 assessments；提交最多取 60 份、每份截断 500 字，超出的人不进分析也不提示；无任何文字提交直接失败；写库前先删旧块再插，整批在一个事务里；失败把 generation_status 置 failed 并留旧块便于重试
lecture_edit.go[AA7L]: F:讲评报告块的编辑、排序、删除、整份确认与单块重新生成，并记录教师偏好事件 | R:code:server/services/lecture_analyze.go,code:server/services/recommendation.go,code:configs/016_lecture_report.sql | A:- | S:改动块的标题或内容会把已确认的报告打回 draft；块归属由 lectureBlockReport 连报告校验 assignment_id，防跨作业越权；只有 overview 与 dimension_analysis 两类块能重生成
lecture_prompt.go[CA7T]: F:讲评分析的系统提示词常量：只依据 Rubric 与提交原文，输出班级级严格 JSON | R:code:server/services/lecture_analyze.go,code:server/services/lecture_edit.go | A:- | S:提示词明确不依赖 assessments，score_summary 的数值是模型对原文的估计而非真实得分，无法判断时填 0；要求面向班级共性、不点名学生、不贴负面标签
lecture_read.go[PA6T]: F:读取该作业最新一份讲评报告及其内容块，供前端轮询与展示 | R:code:server/services/lecture_analyze.go,code:configs/016_lecture_report.sql | A:- | S:无报告返回 nil 而非错误，调用方要自己判空；只取 created_at 最新的一份，历史报告读不到；空 JSON 字段统一兜成 {} 或 []，前端不必防 null
profanity.go[KS7S]: F:基于 Trie 的敏感词检测与替换，支持词库热加载与词条计数 | R:code:configs/profanity_words.txt,code:server/services/session_service.go,code:server/services/widget_service.go | A:- | S:词库加载失败只记日志并用空词库继续，过滤会静默失效；Filter 取最长匹配整段替换成星号，Contains 只判有无；热加载是整棵树原子替换，不是增量插入
recommendation.go[AA7L]: F:推荐练习：基于已确认报告生成题目、教师审核采用或修改，并一键发布为带花名册与专属码的新作业 | R:code:server/services/remediation.go,code:server/services/token_service.go,code:configs/016_lecture_report.sql,code:server/services/lecture_edit.go | A:- | S:生成前置是讲评报告已 confirmed；重生成只删 teacher_action='pending' 的题，保留教师已处理的；发布只挑 accepted/edited，题面写进新作业的任务说明材料
refine_service.go[IA7M]: F:文本转 Markdown 提炼：短文直接提炼，长文并发分段压缩后合并，并上报截断信号 | R:code:server/services/ai_service.go,code:server/handlers/refine_handler.go | A:- | S:走独立的 refineComplete（temperature 0.2、thinking 关闭、三阶段各自 max_tokens），不与 doChat 共用；压缩段撞顶的截断最隐蔽，合并出的大纲照样通顺，故 finish_reason=length 必须上报
remediation.go[AA7L]: F:学生补救：逐人生成教师版诊断与温和版反馈及练习题、教师审阅改写、标记发送，学生凭作业码查看 | R:code:server/services/recommendation.go,code:server/services/token_service.go,code:configs/017_student_remediation.sql | A:- | S:前置是讲评报告已确认；诊断只给教师，学生侧只下发温和版与题面、不给答案解析；通用码的学生身份只按 token-作业码-姓名 前缀校验，知道同学姓名即可读到其反馈
review_service.go[DB6M]: F:同伴互评的创建与查询，按作品分组汇总评论与各维度平均分 | R:code:configs/005_peer_review.sql,code:server/handlers/review_handler.go | A:- | S:重复评价靠 (submission_id,reviewer_uuid) 唯一约束转成 ON CONFLICT DO UPDATE，语义是覆盖而非报错；Review.ReviewerName 所有查询都不填，恒为空串
room_service.go[DB9L]: F:房间 CRUD、邀请码生成、锁定与只读、角色与租户隔离校验，以及带跨域影响面预检的安全删除 | R:code:configs/001_init.sql,code:configs/018_room_collab_mode.sql,code:configs/019_classes_roster.sql,code:server/handlers/room_handler.go,code:server/services/session_service.go | A:- | S:删除房间的顺序不能换：先取课件包 id（删库后目录名就失联）、事务内解绑作业再删房间、提交成功后才删磁盘，最坏只留孤儿目录绝不丢数据；作业一律置 room_id 为 NULL 保留，故意不提供连作业一起删的选项；NeedsConfirm 判定放服务端，不带 confirm 的调用方都会被拦；UpdateRoom 的 ExpiresAt 写的是 rooms.finished_at；活跃房间数按租户 max_rooms 卡，邀请码最多重试 5 次
session_service.go[DI8L]: F:学生入场：按 roster/anonymous/team 分流身份、写会话与 Redis 缓存，认领码、封禁解封与离场，并支持学生资料更新 | R:code:configs/018_room_collab_mode.sql,code:configs/019_classes_roster.sql,code:server/services/room_service.go,code:configs/001_init.sql | A:- | S:roster 按真名匹配 class_students，重名返 NeedDisambig 且不入场；anonymous/team 每次入场新生成 guest- UUID，入场封禁检查形同虚设；BanStudent 写永久 Redis key（无 TTL）+DB，IsStudentBanned 未命中查 DB 回填；UpdateStudentProfile 须同步 Redis session（清 suffix、保 TTL），DB suffix 亦清空
share_service.go[DB7L]: F:公开分享页的发布、密码与过期校验、数据聚合缓存与访问计数，以及房间模板的存取 | R:code:configs/006_share_template.sql,code:server/services/export_service.go,code:server/handlers/share_handler.go | A:- | S:GetShareData 命中 5 分钟缓存时不再查过期，刚过期的链接在缓存窗口内仍读得到；DeleteShare 的 SQL 不带归属条件，鉴权全靠上层；密码模式下传空密码表示保留原 hash
token_service.go[DI8L]: F:作业码生成与验证、花名册增删改与提交状态汇总、凭码提交与学生查看评价 | R:code:configs/008_assignment_v2.sql,code:server/services/assignment_service.go,code:server/services/remediation.go,code:server/models/assignment_token.go | A:- | S:createToken 的 ON CONFLICT 只防 token 字符串撞车，不防同一学生重复发码，对同一房间再跑一次专属码会给每人多发一张；通用码的学生身份是 token- 加原样大小写的作业码加姓名，而校验处一律转大写，小写提交的人事后读不到自己的反馈；ExportTokensCSV 手拼字符串不转义，姓名带逗号会串列
widget_service.go[DB9L]: F:互动组件服务端：投票词云问答作品墙的提交与聚合回写、HTML 课件事件收集与画布元素增删改，并按学生汇总历史作答 | R:code:configs/001_init.sql,code:configs/002_dropzone.sql,code:configs/015_html_widget.sql,code:server/handlers/ws_handler.go,code:server/services/export_service.go | A:- | S:room_elements.payload 双层结构，业务字段在 payload.payload，读走 extractInnerPayload、回写按 isNestedPayload 分两路径；HandleAnswer 判对错读 payload.correctIdx，export_service 汇总读 correct_answer，键名不对齐；多选投票先删后插绕开唯一索引，中途失败留半份票；GetStudentAnswerSubmissions 按 element_id 聚合 choice_idx/is_correct 供刷新回填；HandleDropzoneAction 不校验 roomID 与操作者

===/Users/kdongnmt.edu/Desktop/mind/server/utils/===
jwt.go[CI8S]: F:JWT 签发与解析：HS256、四级角色与按角色展开的权限列表 | R:code:server/middleware/auth.go,code:server/handlers/auth_handler.go,code:server/config/config.go | A:- | S:权限列表在签发时就固化进 Token，改 getPermissionsByRole 对已登录用户不生效，须重新登录；superadmin 的 tenant_id 在 Token 里是空串而库里要求为 NULL；解析只区分过期与无效两种错误
random.go[CG6T]: F:随机码工具：UUID、guest- 学生 UUID、4 位防冒充后缀、6 位邀请码与 4 位认领码 | R:code:server/services/session_service.go,code:server/services/room_service.go | A:- | S:全部走 math/rand 且只在进程启动时播种，邀请码与认领码可预测，不能当凭证用；邀请码字符集去掉了易混淆的 O/0/I/1/L，认领码是 0000-9999 而后缀是 1000-9999
validator.go[CG6T]: F:统一输入校验：昵称、用户名、密码、房间标题、角色与容量，以及 HTML 转义 | R:code:server/services/session_service.go,code:server/handlers/admin_handler.go,code:server/handlers/room_handler.go | A:- | S:昵称只卡 2-20 字、不过滤引号；密码正则只管 8-50 位，注释说的「含字母和数字」并未实现；SanitizeString 是单遍 Replacer，& 规则放最后也不会二次转义

===/Users/kdongnmt.edu/Desktop/mind/server/ws/===
client.go[RN8S]: F:WebSocket 连接封装：读泵解析并转发消息、写泵逐条发帧与心跳 Ping，并支持带关闭码的踢出断开 | R:code:server/ws/room.go,code:server/ws/message.go,code:server/handlers/ws_handler.go | A:- | S:写泵一条消息一个 frame 不能合并，否则前端 JSON.parse 只拿到第一条；读限 10MB、pongWait 120 秒配前端 30 秒心跳；发送缓冲 256；Send 被关闭时写泵先写完缓冲再发关闭帧，closeCode 非 0（踢出 4001）则带该码，前端据此不重连
hub.go[RN8S]: F:WebSocket 全局管理器：按 roomID 取或建房间并启动其主循环，转发广播、点对点与踢人 | R:code:server/ws/room.go,code:server/services/insight_service.go,code:server/main.go | A:- | S:rooms map 只增不删，房间建了就一直留着、其 goroutine 也不退出，RoomCount 只会涨；GetOrCreateRoom 用双重检查锁防并发建重；OnMessage 与 OnEmpty 是建房时注入的，之后再设处理器不影响已存在的房间
message.go[CN7S]: F:WebSocket 消息类型常量与 Message/RawMessage 结构及编解码 | R:code:server/ws/client.go,code:server/handlers/ws_handler.go,code:server/ws/room.go | A:- | S:嵌套 Message 与扁平原始 JSON 两种形态并存；member_join/leave 与 member_profile_updated 只走扁平，用 BroadcastAll(Message{}) 发这些前端收不到
room.go[RN8M]: F:房间主循环与客户端注册注销、四种广播、踢人（带关闭码优雅断开）与在线列表，以及最后一人离开的回调 | R:code:server/ws/hub.go,code:server/ws/client.go,code:server/handlers/scene_snapshot.go | A:- | S:Register 只登记不广播 member_join，由 ws_handler 发扁平格式，两边都发会时序错乱；发送通道满即当掉线，close(Send) 并移出房间；最后一人离开触发 OnEmpty 强制落库；RemoveClient 只设 closeCode=4001 并 close(Send)，不得立刻 Conn.Close，否则 ctrl_kick 发不出去（3 秒兜底关闭）

===/Users/kdongnmt.edu/Desktop/mind/web/===
index.html[EV5T]: F:Vite 前端入口 HTML：挂载 #root 并以 module 方式加载 main.tsx | R:code:web/src/main.tsx,code:web/vite.config.ts,code:web/public/favicon.svg | A:- | S:-
package-lock.json[FV3L]: F:web 依赖树的锁定文件，lockfileVersion 3，由 npm 维护 | R:code:web/package.json | A:- | S:CI 用 npm ci，改依赖必须连本文件一起提交
package.json[FV6T]: F:前端依赖与脚本：React 18 + TS + Vite 5 + Tailwind + Excalidraw + Zustand + ECharts + i18next | R:code:web/package-lock.json,code:web/vite.config.ts,code:web/tailwind.config.cjs | A:- | S:build 的 tsc 与 vite build 两段都显式设了 NODE_OPTIONS=--max-old-space-size=4096，小内存机器上不加会 OOM；type 是 module，所以 postcss/tailwind 配置必须用 .cjs
postcss.config.cjs[FV4T]: F:PostCSS 配置：启用 tailwindcss 与 autoprefixer 两个插件 | R:code:web/package.json,code:web/tailwind.config.cjs | A:- | S:必须用 .cjs 后缀：package.json 是 type=module，.js 会被当 ESM 解析
tailwind.config.cjs[FV5T]: F:Tailwind 配置：扫描 index.html 与 src 下所有 ts/tsx，并扩展一组 primary 色阶 | R:code:web/src/index.css,code:web/package.json | A:- | S:这里扩展的 primary 是蓝色系，与 index.css 里暖木主题的 --color-primary-* 令牌完全无关也不同色，全仓无任何 primary- 类名在用，改它不会影响界面
tsconfig.json[FV6T]: F:前端 TypeScript 配置：ES2022 目标、bundler 解析、react-jsx、@/* 路径别名，引用 tsconfig.node.json | R:code:web/vite.config.ts,code:web/tsconfig.node.json,code:web/package.json | A:- | S:strict 开着但 noUnusedLocals 与 noUnusedParameters 都关了，死变量与未用参数不报错；@/* 别名在这里和 vite.config.ts 的 resolve.alias 两处各声明一遍，改得一起改
tsconfig.node.json[FV3T]: F:专供 vite.config.ts 使用的 composite 子配置 | R:code:web/tsconfig.json,code:web/vite.config.ts | A:- | S:include 只有 vite.config.ts 一项，新增构建脚本要手动加进来
vite.config.ts[FV8T]: F:Vite 构建配置：@ 别名、开发服务 5173 与 /api 和 /ws 反代到 8080、三档 chunk 分割 | R:code:web/tsconfig.json,code:web/package.json,code:web/src/utils/assignmentApi.ts,code:web/src/utils/tokenApi.ts | A:- | S:manualChunks 只拆 Excalidraw（约 3.7MB、无循环依赖、缓存价值最高），其余 node_modules 全归 vendor——手动再拆 echarts 或 react 会因 echarts-for-react 依赖 react 而引发 Rollup 循环依赖警告；assignment-utils 按路径字符串匹配四个文件拆出，改名或挪位置该规则会静默失效；chunkSizeWarningLimit 调到 4000 只为盖过两个大包

===/Users/kdongnmt.edu/Desktop/mind/web/public/===
favicon.svg[FU2T]: F:站点图标：蓝色圆角方块上写白色 MC 字样的内联 SVG | R:code:web/index.html | A:- | S:-

===/Users/kdongnmt.edu/Desktop/mind/web/src/===
App.tsx[EU8S]: F:应用路由总控：公开页、受保护页与管理员页三档守卫，以及启动时的一次登录态探测与护眼模式应用 | R:code:web/src/hooks/useAuth.ts,code:web/src/store/authStore.ts,code:web/src/pages/RoomPage.tsx,code:web/src/pages/SubmitPage.tsx | A:- | S:/room/:id、/share/:token、/submit 故意不加 ProtectedRoute（学生凭UUID访问，加守卫进不来）；未匹配路径重定向到 /join 而非 /login；checkAuth 无论成败都 setInitialized 否则加载态卡死；挂载时读 localStorage 护眼模式偏好并给 <html> 加/去 eye-care-mode class，功能已实现（见 index.css）
index.css[FU6S]: F:全局样式：暖木主题令牌、btn/card/input/toast/spinner 组件类、滚动条与打印样式，并隐藏 Excalidraw 自带入口 | R:code:web/tailwind.config.cjs,code:web/src/main.tsx,code:web/src/components/canvas/CanvasEngine.tsx | A:- | S:护眼模式已实现：:root.eye-care-mode 覆盖变量并对 Tailwind 字面类加规则；.input/.card/.btn-* 是自定义 @layer components 类
main.tsx[EG6T]: F:React 应用入口：挂 BrowserRouter+App，引入全局样式与 i18n | R:code:web/src/App.tsx,code:web/src/registry/widgetRegister.ts,code:web/src/index.css,code:web/src/i18n/index.ts | A:- | S:widgetRegister 必须在 App 渲染前 import，否则画布组件全落到 FallbackWidget；开着 StrictMode，开发态 effect 跑两次

===/Users/kdongnmt.edu/Desktop/mind/web/src/components/canvas/===
